TransactionID,OrderDate,CustomerID,ProductID,Quantity,TotalAmount
1165,1/14/2024,25,202,1,579
1166,5/5/2024,6,221,4,187
1167,8/29/2024,22,205,8,948
1168,8/25/2023,31,237,1,904
1169,6/5/2024,38,234,7,837
1170,10/14/2023,12,208,8,695
1171,4/18/2024,33,247,9,207
1172,11/19/2022,20,238,1,174
1173,3/29/2023,47,241,6,203
1174,1/28/2024,45,226,1,800
1175,7/8/2023,2,227,4,990
1176,5/14/2024,46,235,10,551
1177,12/7/2023,29,234,4,947
1178,3/18/2023,2,241,1,850
1179,9/2/2023,27,220,5,238
1180,8/8/2024,12,247,6,160
1181,1/2/2024,27,203,9,229
1182,4/21/2023,39,216,10,242
1183,3/2/2024,41,212,1,210
1184,12/30/2023,34,201,4,363
1185,7/5/2024,7,215,1,895
1186,8/7/2023,16,234,10,587
1187,9/21/2024,40,249,2,399
1188,1/3/2024,39,211,7,920
1189,12/4/2022,43,231,2,325
1190,3/14/2023,28,250,6,677
1191,11/5/2023,35,216,6,434
1192,7/28/2024,19,213,2,909
1193,3/7/2024,25,217,7,848
1194,12/25/2022,21,237,4,469
1195,11/25/2022,37,215,4,948
1196,11/5/2023,5,250,2,220
1197,5/23/2024,14,210,2,295
1198,9/30/2024,3,250,1,874
1199,4/16/2023,42,244,1,807
1200,9/27/2024,10,245,1,728
1201,8/27/2024,4,244,2,723
1202,9/17/2023,27,247,1,319
1203,1/3/2024,13,220,5,240
1204,5/17/2024,35,245,9,611
1205,4/16/2024,2,243,8,161
1206,8/23/2024,41,243,8,147
1207,4/25/2024,19,210,7,676
1208,4/24/2024,18,227,3,191
1209,4/24/2024,32,223,9,300
1210,12/6/2023,3,250,8,148
1211,11/7/2023,16,220,2,154
1212,9/24/2023,35,248,3,361
1213,1/30/2023,41,220,9,983
1214,7/16/2024,49,236,8,732
1215,4/1/2023,46,239,8,585
1216,5/24/2023,43,216,1,590
1217,9/24/2023,43,207,10,399
1218,2/8/2024,41,203,1,388
1219,4/24/2024,35,250,1,338
1220,9/6/2024,40,227,10,462
1221,1/23/2023,1,221,6,617
1222,1/2/2024,9,210,2,554
1223,8/12/2024,17,221,5,790
1224,9/12/2023,43,230,5,245
1225,12/30/2022,43,217,4,414
1226,1/9/2023,7,229,9,133
1227,6/20/2023,1,219,7,343
1228,5/16/2023,40,239,5,372
1229,7/17/2024,27,247,9,363
1230,9/28/2024,37,202,7,534
1231,10/9/2024,19,217,1,845
1232,4/20/2024,20,239,2,455
1233,10/29/2023,8,207,9,673
1234,8/13/2023,22,217,7,922
1235,9/7/2024,42,213,8,698
1236,8/20/2024,1,220,9,419
1237,10/23/2024,3,208,7,200
1238,12/18/2022,30,219,6,571
1239,1/2/2024,17,221,7,310
1240,8/1/2023,7,240,7,542
1241,11/8/2023,5,236,9,740
1242,2/11/2023,31,238,6,668
1243,7/2/2023,3,228,3,389
1244,2/28/2024,13,225,8,524
1245,11/11/2023,17,202,3,665
1246,1/24/2023,14,242,8,528
1247,10/30/2023,40,223,10,545
1248,5/2/2024,26,207,6,353
1249,9/29/2023,20,215,1,545
1250,7/7/2023,28,240,10,208
1251,9/15/2024,20,209,8,462
1252,3/24/2023,22,230,10,936
1253,5/18/2024,34,230,1,517
1254,12/23/2023,9,207,4,813
1255,4/30/2023,20,224,4,688
1256,6/5/2024,24,229,7,210
1257,2/3/2023,39,218,9,274
1258,1/19/2023,26,246,8,698
1259,9/30/2023,45,237,4,191
1260,12/25/2023,39,241,9,446
1261,3/17/2023,7,202,5,821
1262,3/5/2024,30,215,2,916
1263,12/18/2022,34,207,2,219
1264,11/19/2022,24,237,2,959
1265,6/18/2023,42,237,6,996
1266,7/12/2024,13,212,3,768
1267,5/15/2023,49,244,4,396
1268,1/8/2023,3,224,9,752
1269,5/22/2023,20,201,6,308
1270,1/27/2024,29,202,10,340
1271,4/21/2023,30,237,3,954
1272,9/9/2024,20,202,6,150
1273,5/28/2023,9,250,5,118
1274,5/10/2024,2,249,2,463
1275,10/17/2024,3,216,6,136
1276,11/24/2023,15,240,2,546
1277,11/8/2023,5,244,9,586
1278,6/25/2024,16,225,1,260
1279,4/9/2023,50,216,9,434
1280,2/16/2024,2,207,9,876
1281,9/14/2024,45,244,8,146
1282,11/30/2023,38,226,3,845
1283,7/25/2023,45,227,6,295
1284,8/13/2023,11,215,3,661
1285,7/15/2023,24,221,3,748
1286,1/25/2023,25,208,7,347
1287,8/26/2023,31,233,6,766
1288,8/18/2024,34,205,9,819
1289,4/16/2023,45,243,10,144
1290,12/23/2022,8,212,6,451
1291,1/11/2023,17,245,7,136
1292,7/11/2023,48,202,10,562
1293,3/4/2024,31,235,2,339
1294,8/20/2024,16,226,7,197
1295,9/18/2024,28,240,9,752
1296,9/3/2024,29,232,2,551
1297,5/14/2024,13,235,6,325
1298,8/5/2023,10,222,1,367
1299,8/26/2023,38,239,7,770
1300,5/11/2024,26,226,6,289
1301,5/31/2024,35,233,6,881
1302,5/17/2023,3,235,2,438
1303,2/12/2024,8,221,5,806
1304,3/8/2024,2,209,9,756
1305,5/19/2024,25,237,7,939
1306,11/29/2022,6,222,9,570
1307,8/15/2023,16,227,5,190
1308,12/3/2023,10,205,10,146
1309,6/5/2023,14,205,2,501
1310,10/10/2023,11,215,1,909
1311,5/19/2023,18,231,2,716
1312,8/10/2024,23,204,10,518
1313,6/29/2024,44,205,6,492
1314,3/30/2024,43,234,5,864
1315,7/8/2024,25,226,8,181
1316,3/27/2024,19,228,1,742
1317,3/26/2024,23,227,3,504
1318,12/15/2022,16,237,3,700
1319,3/24/2023,28,215,7,516
1320,5/10/2024,1,213,5,616
1321,7/6/2023,27,234,7,304
1322,11/7/2024,39,248,4,937
1323,9/22/2023,28,213,8,220
1324,5/16/2024,15,213,6,905
1325,6/23/2023,24,249,5,151
1326,12/9/2022,42,224,4,951
1327,10/1/2024,14,204,4,365
1328,4/28/2023,12,208,9,347
1329,6/11/2024,10,218,8,870
1330,12/29/2023,18,223,3,797
1331,5/27/2023,31,224,3,910
1332,4/25/2024,34,245,8,922
1333,1/16/2024,10,231,4,699
1334,9/27/2023,15,205,10,668
1335,2/22/2023,37,212,4,489
1336,3/28/2023,28,234,8,347
1337,7/21/2024,29,235,4,557
1338,10/2/2023,9,227,5,587
1339,8/10/2023,17,214,6,314
1340,12/16/2023,49,250,4,870
1341,10/8/2024,34,215,9,346
1342,6/4/2023,8,204,4,544
1343,7/4/2024,44,203,9,197
1344,4/13/2023,10,244,4,322
1345,9/10/2024,11,208,4,739
1346,3/17/2023,30,248,1,122
1347,5/16/2024,22,207,4,999
1348,9/7/2023,22,207,5,864
1349,5/1/2023,27,211,8,871
1350,11/27/2022,23,250,10,788
1351,6/13/2023,31,215,8,798
1352,2/9/2024,21,233,7,131
1353,10/22/2024,22,221,2,701
1354,6/9/2024,41,233,1,963
1355,4/23/2024,47,213,3,926
1356,8/17/2023,19,208,5,633
1357,6/30/2024,26,249,4,187
1358,3/17/2024,36,221,6,207
1359,11/5/2023,9,220,9,605
1360,1/8/2024,15,216,6,281
1361,8/22/2024,14,222,10,751
1362,9/21/2023,45,231,10,483
1363,7/3/2024,16,218,6,664
1364,6/14/2024,45,205,2,682
1365,3/29/2024,15,247,5,307
1366,6/5/2024,15,208,10,199
1367,12/13/2022,32,231,1,170
1368,5/5/2024,44,238,9,796
1369,2/2/2024,46,221,5,891
1370,2/18/2023,6,249,10,306
1371,9/26/2023,11,218,1,325
1372,10/19/2023,3,240,10,542
1373,4/21/2023,44,212,4,860
1374,7/10/2023,30,205,2,914
1375,12/25/2023,39,216,9,955
1376,7/10/2023,4,229,6,134
1377,5/31/2023,8,233,3,836
1378,10/3/2023,50,234,2,282
1379,4/9/2023,27,221,1,377
1380,4/16/2024,25,249,8,366
1381,3/31/2023,26,233,1,116
1382,3/30/2024,11,243,7,495
1383,10/30/2024,46,232,5,365
1384,10/6/2023,16,206,5,677
1385,8/29/2023,11,211,4,889
1386,5/23/2023,13,229,6,663
1387,5/1/2024,37,218,3,105
1388,11/11/2024,12,241,2,310
1389,3/22/2023,44,202,5,557
1390,8/9/2024,10,215,7,528
1391,10/3/2024,31,228,8,523
1392,12/26/2022,47,241,6,306
1393,2/12/2023,50,201,8,542
1394,8/12/2023,27,250,6,333
1395,10/16/2023,45,214,4,578
1396,12/24/2023,43,219,3,182
1397,7/28/2024,19,243,5,895
1398,11/22/2023,34,248,7,661
1399,5/14/2024,44,230,10,459
1400,4/23/2024,16,237,9,268
1401,6/16/2023,12,237,4,610
1402,12/5/2022,17,238,9,414
1403,1/23/2024,43,209,10,373
1404,8/6/2023,34,245,1,169
1405,2/23/2023,22,248,4,833
1406,8/6/2024,45,205,4,879
1407,12/29/2023,40,205,4,496
1408,11/11/2024,22,233,9,112
1409,11/25/2022,36,229,6,131
1410,9/6/2024,17,245,6,980
1411,7/29/2023,28,238,1,223
1412,4/3/2023,8,234,4,832
1413,7/31/2023,1,240,2,947
1414,1/9/2024,42,226,4,618
1415,10/24/2024,9,213,4,514
1416,12/24/2022,6,242,2,579
1417,5/24/2023,9,216,2,316
1418,3/11/2024,47,209,6,359
1419,10/17/2024,43,239,8,971
1420,5/22/2023,12,205,9,769
1421,1/23/2023,19,237,1,979
1422,3/23/2023,5,247,8,800
1423,4/30/2023,3,232,3,810
1424,8/6/2023,7,221,5,883
1425,9/25/2024,7,216,8,467
1426,3/19/2024,28,231,2,418
1427,7/6/2023,49,208,6,238
1428,10/14/2024,1,241,2,728
1429,1/25/2023,44,225,9,401
1430,12/2/2022,9,223,1,362
1431,2/7/2023,29,216,3,511
1432,11/4/2024,2,206,8,340
1433,11/2/2024,37,239,4,345
1434,6/23/2023,36,246,3,708
1435,7/15/2023,43,230,4,470
1436,6/22/2024,15,203,6,720
1437,12/7/2023,16,210,2,901
1438,7/9/2024,21,239,3,274
1439,10/19/2023,8,246,9,119
1440,4/21/2024,20,222,6,665
1441,6/7/2023,31,230,8,902
1442,1/12/2023,9,250,3,662
1443,5/9/2024,2,207,6,828
1444,10/23/2024,9,233,4,258
1445,12/25/2022,30,218,9,858
1446,5/20/2023,21,213,1,674
1447,5/28/2023,46,238,3,233
1448,8/4/2024,21,224,4,837
1449,8/25/2024,40,214,5,652
1450,9/11/2024,43,220,10,775
1451,7/6/2023,3,209,4,144
1452,1/4/2023,41,220,10,347
1453,11/3/2023,40,224,8,557
1454,5/21/2024,24,205,8,290
1455,5/8/2023,40,221,5,701
1456,3/2/2023,30,242,2,219
1457,12/24/2023,6,224,2,304
1458,10/21/2023,16,236,10,147
1459,7/7/2023,49,211,1,140
1460,6/11/2023,36,239,4,131
1461,5/27/2023,12,230,3,895
1462,7/23/2024,13,225,7,535
1463,5/22/2024,40,235,10,624
1464,6/21/2024,12,222,6,677
1465,8/7/2023,37,212,1,750
1466,6/30/2024,7,202,9,924
1467,1/25/2023,32,234,4,251
1468,6/10/2023,27,219,2,850
1469,12/17/2023,35,211,8,651
1470,10/18/2024,14,229,6,827
1471,11/2/2024,48,212,6,854
1472,2/1/2023,47,222,1,188
1473,2/11/2023,3,237,5,613
1474,8/12/2023,7,206,6,615
1475,6/25/2023,11,219,8,742
1476,1/1/2023,12,232,5,670
1477,11/17/2023,49,231,7,441
1478,10/15/2023,27,243,5,238
1479,1/23/2024,30,238,4,949
1480,2/23/2024,35,235,7,349
1481,7/30/2024,10,246,7,144
1482,12/8/2022,42,229,8,406
1483,4/25/2024,50,232,1,478
1484,6/15/2024,27,235,4,217
1485,7/14/2024,2,227,7,773
1486,8/14/2023,16,219,3,645
1487,8/5/2024,22,250,3,259
1488,10/8/2023,8,224,8,446
1489,10/7/2023,17,234,4,336
1490,10/16/2024,3,212,10,512
1491,6/16/2024,42,234,8,182
1492,11/28/2022,49,201,7,561
1493,1/24/2024,35,236,8,523
1494,4/28/2023,17,201,10,794
1495,4/16/2023,30,208,8,903
1496,3/25/2023,10,230,5,192
1497,6/28/2024,11,218,7,288
1498,4/6/2024,38,213,6,905
1499,5/3/2023,44,204,2,596
